"","date","time_berth","queue_pola","queue_polb","terminal_pola","terminal_polb","turn_pola","turn_polb"
"43","2022-02-12",6.59760956175299,16.0308250226655,14.2720264317181,77.2716832880024,59.5884203901825,93.3025083106679,73.8604468219006
"44","2022-02-13",6.53934188824973,15.7988201482378,13.8998444790047,77.3999394947814,58.3447900466563,93.1987596430192,72.244634525661
"45","2022-02-14",6.78502398502398,15.7988201482378,13.9068429237947,77.3999394947814,58.2608087091757,93.1987596430192,72.1676516329704
"46","2022-02-15",6.70762446275072,16.0551839464883,13.8612943763745,76.3914563697172,59.4480050267044,92.4466403162055,73.3092994030789
"47","2022-02-16",6.38938167971961,15.1101736972705,13.8237206914256,75.2858560794045,59.055450966969,90.3960297766749,72.8791716583947
"48","2022-02-17",6.77852373956222,14.1868293709236,14.2158475860576,74.0355564906375,59.1448365447066,88.2223858615611,73.3606841307642
"49","2022-02-18",6.84204155739358,13.639621559633,12.3001459854015,73.7164564220184,59.298102189781,87.3560779816514,71.5982481751825
"50","2022-02-19",6.00317588225535,13.0726817042607,9.92944785276074,71.9189640768588,57.8071866783523,84.9916457811195,67.736634531113
"51","2022-02-20",6.63512460139365,14.5820416889364,10.8841430859584,70.963655799038,59.1927389215163,85.5456974879744,70.0768820074746
"52","2022-02-21",6.86569042443656,14.5820416889364,11.3434684684685,70.963655799038,60.7606981981982,85.5456974879744,72.1041666666667
"53","2022-02-22",7.1142187759164,17.1842709529277,12.6134858518964,73.683122847302,59.582179409994,90.8673938002296,72.1956652618904
"54","2022-02-23",6.90763538159371,18.9062912450506,16.0096774193548,81.1236251649802,56.6511520737327,100.029916410031,72.6608294930876
"55","2022-02-24",6.71349886971187,19.4546746234726,15.8665260620669,79.5314009661836,61.0840614642965,98.9860755896562,76.9505875263634
"56","2022-02-25",6.53537806817693,18.935,14.5593108018555,77.230625,62.4219129666446,96.165625,76.9812237685001
"57","2022-02-26",6.69437404967055,18.1108094349228,13.559377262853,75.237739691159,64.2766111513396,93.3485491260818,77.8359884141926
"58","2022-02-27",7.06629059771319,17.3246367755038,13.0160527205137,73.73582252773,64.3271375464684,91.0604593032339,77.3431902669821
"59","2022-02-28",6.68226773321231,17.1962083847102,12.8977178077628,73.6037299630086,63.7959353656505,90.7999383477189,76.6936531734133
"60","2022-03-01",6.48388423278766,16.0099592575826,11.8913635635315,72.1297721442583,63.8315975004006,88.139731401841,75.7229610639321
"61","2022-03-02",6.28859729895642,15.0265941372016,10.7326262466361,68.726956784527,66.2258983694792,83.7535509217286,76.9585246161152
"62","2022-03-03",6.22597743849952,14.0397291196388,10.5895569620253,67.4641083521445,65.7447784810127,81.5038374717833,76.334335443038
"63","2022-03-04",6.73512632436838,13.9428960920933,11.3602474619289,66.428960920933,66.3456535532995,80.3718570130264,77.7059010152284
"64","2022-03-05",6.52059359067735,14.5494839101396,12.5457236329646,66.2619914996964,65.0317806511918,80.8114754098361,77.5775042841564
"65","2022-03-06",6.22217076378726,14.7621432908318,12.5076063334368,66.7275349119611,65.061937286557,81.489678202793,77.5695436199938
"66","2022-03-07",6.94715161814689,14.7394919866949,12.505840211805,66.1684306017539,65.2192804859056,80.9079225884487,77.7251206977106
"67","2022-03-08",7.11105206140261,14.8359492906731,13.3938432243732,67.0964382734682,67.6171056807363,81.9323875641413,81.0109489051095
"68","2022-03-09",7.28810609807477,16.4032915597161,14.0143432715552,69.3187377321456,69.1977437550363,85.7220292918617,83.2120870265915
