"","Date","gscpi"
"255","30-Nov-2018",0.44
"256","31-Dec-2018",0.45
"257","31-Jan-2019",0.5
"258","28-Feb-2019",0.13
"259","31-Mar-2019",0.2
"260","30-Apr-2019",0.01
"261","31-May-2019",-0.62
"262","30-Jun-2019",-0.46
"263","31-Jul-2019",-0.45
"264","31-Aug-2019",-0.28
"265","30-Sep-2019",0.15
"266","31-Oct-2019",0.11
"267","30-Nov-2019",0.16
"268","31-Dec-2019",0.05
"269","31-Jan-2020",0.07
"270","29-Feb-2020",1.24
"271","31-Mar-2020",2.57
"272","30-Apr-2020",3.26
"273","31-May-2020",2.49
"274","30-Jun-2020",2.24
"275","31-Jul-2020",2.95
"276","31-Aug-2020",1.48
"277","30-Sep-2020",0.63
"278","31-Oct-2020",0.12
"279","30-Nov-2020",0.74
"280","31-Dec-2020",1.66
"281","31-Jan-2021",1.3
"282","28-Feb-2021",1.92
"283","31-Mar-2021",2.23
"284","30-Apr-2021",2.72
"285","31-May-2021",3.01
"286","30-Jun-2021",2.74
"287","31-Jul-2021",2.91
"288","31-Aug-2021",3.26
"289","30-Sep-2021",3.33
"290","31-Oct-2021",3.86
"291","30-Nov-2021",4.27
"292","31-Dec-2021",4.36
"293","31-Jan-2022",3.67
"294","28-Feb-2022",2.77
"295","31-Mar-2022",2.81
"296","30-Apr-2022",3.49
"297","31-May-2022",2.71
"298","30-Jun-2022",2.4
"299","31-Jul-2022",1.8
"300","31-Aug-2022",1.5
"301","30-Sep-2022",0.98
"302","31-Oct-2022",1.1
"303","30-Nov-2022",1.25
"304","31-Dec-2022",1.32
"305","31-Jan-2023",1.08
"306","28-Feb-2023",-0.22
"307","31-Mar-2023",-1.14
"308","30-Apr-2023",-1.31
"309","31-May-2023",-1.55
"310","30-Jun-2023",-1.09
"311","31-Jul-2023",-0.91
"312","31-Aug-2023",-1.06
"313","30-Sep-2023",-0.64
"314","31-Oct-2023",-0.36
"315","30-Nov-2023",0.19
"316","31-Dec-2023",-0.14
"317","31-Jan-2024",-0.31
"318","29-Feb-2024",-0.17
"319","31-Mar-2024",-0.32
"320","30-Apr-2024",-0.92
"321","31-May-2024",-0.48
